interest,Business and industry,Education,Family and relationships,Fitness and wellness,Food and drink,Hobbies and activities,Lifestyle and culture,News and entertainment,People,Shopping and fashion,Sports and outdoors,Technology,"Travel, places and events",No category
Literary realism,,3,,,,2,1,,,,,,,
Promozione,2,,,,,,3,,,1,,,,
Brocade,3,,,,,,2,,,1,,,,
Life (NBC TV series),3,,,,,2,,1,,,,,,
Kunchacko Boban,3,,,,,,2,,1,,,,,
Pow wow,,3,,,,2,1,,,,,,,
Vehicle simulation game,2,,,,,1,,,,3,,,,
Kiefer Sutherland,,,,,,3,,2,1,,,,,
Mehdi Bennani,,,,,,,,,,,,,,
Mortar and pestle,,,,,,3,,,1,,2,,,
Radio Disney Latin America,3,,,,,2,,1,,,,,,
Continent,,,,,,,,,,,,,,1
Gross national product,1,2,,,,,,,,,,3,,
Enchilada,,3,,,1,,2,,,,,,,
Mac Mini,3,,,,1,,2,,,,,,,
Jägermeister,,,,,1,2,3,,,,,,,
Vermiform appendix,,,,,,,,,,,,,,1
Resin,,,,,,,,,,,,,,1
Lanvin (clothing),3,,,,,,2,,,1,,,,
Slide show,,2,,,,3,,,,,,1,,
Breeders' Cup Classic,3,,,,,,,2,,,1,,,
Ital,3,,,,1,,2,,,,,,,
Ekurhuleni Metropolitan Municipality,,,,,,3,2,,,,,,1,
The Bahamas,,,,,,3,2,,,,,,1,
Diners,1,,,,,,2,,,3,,,,
National Geographic (magazine),,,,,,2,3,1,,,,,,
Program management,2,1,,,,,3,,,,,,,
Huatulco,,,,,,3,2,,,,,,,
Photographic processing,,3,,,,2,,,,,,1,,
Close-Up (toothpaste),1,,,2,,,,,,3,,,,
Chris Powell (personal trainer),,,,2,,,,,1,,3,,,
Cologne,,,,,,3,2,,,,,,1,
The View,,,,,,3,2,1,,,,,,
Instituto Politécnico Nacional,,1,,,,,,,,,,2,3,
Cream Silk Philippines,1,,,3,,,,,,2,,,,
Unix,,2,,,,3,,,,,,1,,
Touch (rugby),,,,,,2,3,,,,1,,,
Hubli,,,,,,3,2,,,,,,1,
Penelope,,1,,,,2,3,,,,,,,
Ferenc Puskás,,,,,,,,3,1,,2,,,
Narmin Assria IFBB Bikini Pro,2,,,,,,,,1,3,,,,
Berita Harian Online,,,,,,3,2,1,,,,,,
V10 engine,3,,,,,2,,,,,,1,,
Legal process,,,,,,,,,,,,,,1
Premier League,2,,,,,3,,,,,1,,,
Pekalongan,,,,,,,,,,,,,,1
Cliff Lee,,,,,,3,,,1,,2,,,
Emperor (band),3,,,,,1,2,,,,,,,
Italo house,3,,,,,2,1,,,,,,,
Prachinburi Province,,,,,,3,2,,,,,,1,
Altay S.K.,3,,,,,2,,,,,1,,,
Dale Crover,3,,,,,2,,,1,,,,,
Yonkoma,,,,,,2,3,1,,,,,,
Mido (footballer),,,,,,,,3,1,,2,,,
Ballet flat,3,,,,,,2,,,2,,,,
I Love New York,3,,,,,,2,,,,,,1,
Everland,,,,3,,2,,,,,,,1,
Amateur wrestling,,,,,,2,3,,,,1,,,
Pita Pit,,,,2,1,,3,,,,,,,
Dayro Moreno,,,,,,3,,,1,,2,,,
Kernel (operating system),3,2,,,,,,,,,,1,,
Power (TV series),,,,,,2,3,1,,,,,,
Deal or No Deal,3,,,,,2,,1,,,,,,
Shirtdress,3,,,,,,2,,,1,,,,
Farah Khan,,,,,,2,3,,1,,,,,
Rich Piana,,,,3,,,,,1,,2,,,
FX (TV channel),,,,,,2,3,1,,,,,,
Economic sector,1,2,,,,,3,,,,,,,
"Saitama, Saitama",,,,,,3,2,,,,,,1,
Amitabh Bachchan,,,,,,,3,2,1,,,,,
Islamictube,,,,,,,3,1,,,,2,,
Fashion Designer Game,3,,,,,2,,,,1,,,,
British cuisine,3,,,,1,,2,,,,,,,
Squirrel Girl,,,,,,2,3,1,,,,,,
Apache Hadoop,2,3,,,,,,,,,,1,,
Atacama Region,,,,,,3,2,,,,,,1,
Tasha Smith,,,,,,3,,2,1,,,,,
Group races,,,,3,,2,,,,,1,,,
DePaul Blue Demons,3,,,,,2,,,,,1,,,
Music theory,,1,,,,2,3,,,,,,,
Škoda Octavia,1,,,,,2,,,,,,3,,
Pete Holmes,,,,,,3,,2,1,,,,,
Sam's Club México,1,,,,,,,,,2,,3,,
Champs Sports,2,,,3,,,,,,1,,,,
Satguru,,,,,,,1,,2,,,,3,
"Ramsey, Isle of Man",,,,,,3,2,,,,,,1,
Delta Air Lines,2,,,,,3,,,,,,,1,
Labour law,,,,,,,,,,,,,1,
Pepe Jeans,2,,,,,,3,,,1,,,,
Commodity market,1,2,,,,3,,,,,,,,
"Beverly Hills, California",,,,,,2,3,,,,,,1,
Bollywood on Facebook,,,,,,2,3,1,,,,,,
Kontinental Hockey League,2,,,,,3,,,,,1,,,
Sixto Rodriguez,,,,,,2,3,,1,,,,,
CONCACAF,2,,,,,,,3,,,1,,,
"Viana, Spain",,,,,,2,3,,,,,,1,
Hydrate,,,,2,1,,3,,,,,,,
Tara Reid,,,,,,,3,,1,2,,,,
Updo,3,,,2,,,,,,1,,,,
Condor Trilogy,,,,,,1,2,3,,,,,,
Operations management,2,1,,,,,,,,,,3,,
Muğla Province,,,,,,3,2,,,,,,1,
Metal Gear,3,,,,,2,1,,,,,,,
Nakodar,,,,,,3,2,,,,,,1,
Bird migration,,2,,,,3,1,,,,,,,
Jack Skellington,,,,,,2,,1,3,,,,,
Husayn ibn Ali,,2,,,,,1,,,,,,3,
Irish language,,1,,,,3,2,,,,,,,
Angela Lansbury,,,,,,3,,2,1,,,,,
Cuautitlán,,,,,,3,2,,,,,,1,
Loredana Groza,,,,,,3,2,,1,,,,,
Mr. Price,1,,,3,,,,,,2,,,,
Regensburg,,,,,,3,2,,,,,,1,
Pistoia,,,,,,3,2,,,,,,2,
Oceana (non-profit group),1,2,,,,,,,,,,3,,
Salman bin Abdulaziz Al Saud,,,,,,,,,,,,,,
Resident Evil 4,,,,,,,,,,,,,,
Brembo,,,,,,,,,,,,,,
Cafe Rio,,,,,,,,,,,,,,
International Brazilian Jiu-Jitsu Federation,,,,,,,,,,,,,,
Anheuser-Busch InBev,,,,,,,,,,,,,,
MAXXI,,,,,,,,,,,,,,
Fogo de Chão,,,,,,,,,,,,,,
Black Beauty,,,,,,,,,,,,,,
Evidence (law),,,,,,,,,,,,,,
Industry 4.0,,,,,,,,,,,,,,
Bridgewater Hall,,,,,,,,,,,,,,
Blinkers (horse tack),,,,,,,,,,,,,,
Tring,,,,,,,,,,,,,,
Fuji (apple),,,,,,,,,,,,,,
Supercalifragilisticexpialidocious,,,,,,,,,,,,,,
People's Representative Council,,,,,,,,,,,,,,
Plastic Ono Band,,,,,,,,,,,,,,
Lee Evans (comedian),,,,,,,,,,,,,,
Melissa McBride,,,,,,,,,,,,,,
Buddharupa,,,,,,,,,,,,,,
National Treasure (film),,,,,,,,,,,,,,
"Junction City, Kansas",,,,,,,,,,,,,,
BET Gospel,,,,,,,,,,,,,,
Flat panel display,,,,,,,,,,,,,,
Wella Professionals,,,,,,,,,,,,,,
The Footy Show (rugby league),,,,,,,,,,,,,,
Detroit Lions,,,,,,,,,,,,,,
Foo Fighters (album),,,,,,,,,,,,,,
Atal Bihari Vajpayee,,,,,,,,,,,,,,
Dan Povenmire,,,,,,,,,,,,,,
Tactical pants,,,,,,,,,,,,,,
Mydin,,,,,,,,,,,,,,
Kia Motors Philippines,,,,,,,,,,,,,,
Star Wars: The Old Republic,,,,,,,,,,,,,,
Josh Groban,,,,,,,,,,,,,,
Elena Gheorghe,,,,,,,,,,,,,,
Tébessa,,,,,,,,,,,,,,
Lat Phrao District,,,,,,,,,,,,,,
Quang Vinh,,,,,,,,,,,,,,
